Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Total_Votes
39,47,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,56,FALSE,231,1,1028013,FALSE,143,7768,2
53,55,FALSE,accepted,3,TRUE,17568,144243,FALSE,FALSE,TRUE,15,TRUE,322,0,1121576,FALSE,254,2784,218
36,37,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,25,TRUE,508,0,4526124,FALSE,507,401,77
3,4,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,47,FALSE,18,0,37939,FALSE,46,4310,1
59,62,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,59,TRUE,453,0,1377723,FALSE,100,401,1
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,44,FALSE,191,0,2798227,FALSE,1397,1207,11
22,24,FALSE,accepted,2,FALSE,21495,34478,FALSE,FALSE,TRUE,53,TRUE,366,1,2267806,FALSE,211,401,108
5,20,FALSE,unreviewed,1,TRUE,38,?,FALSE,FALSE,FALSE,52,FALSE,6,0,?,FALSE,9,1115,1
34,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,19,FALSE,80,0,243325,FALSE,28,8020,10
13,15,FALSE,accepted,3,TRUE,21495,34478,FALSE,FALSE,TRUE,141,TRUE,159,0,1329333,FALSE,136,136,6
134,137,FALSE,accepted,3,FALSE,21495,34478,FALSE,FALSE,TRUE,79,TRUE,714,2,4168155,FALSE,573,1742,35
8,14,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,44,FALSE,24,0,36887,FALSE,42,7089,0
57,58,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,154,TRUE,157,0,183015,FALSE,19,611,10
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,168,FALSE,306,2,2875478,FALSE,342,1699,31
22,24,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,37,FALSE,62,0,58154,FALSE,8,7936,14
66,67,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,14,TRUE,246,0,2418330,FALSE,820,1545,69
50,57,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,25,TRUE,88,0,188652,FALSE,27,1986,11
22,27,FALSE,accepted,2,TRUE,2660,?,FALSE,FALSE,FALSE,40,FALSE,158,0,1163069,FALSE,159,8970,23
32,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,81,FALSE,85,0,276104,FALSE,35,7866,0
17,18,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,70,TRUE,319,0,3190791,FALSE,366,625,39
21,26,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,93,FALSE,27,0,24461,FALSE,1,9854,1
17,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,41,FALSE,53,0,66937,FALSE,10,7173,3
10,16,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,64,FALSE,28,0,36933,FALSE,47,7089,0
29,30,FALSE,accepted,3,FALSE,21495,34478,FALSE,FALSE,TRUE,114,TRUE,356,0,4016170,FALSE,162,401,8
24,25,FALSE,accepted,2,FALSE,8610,?,FALSE,FALSE,FALSE,81,FALSE,175,0,1691176,FALSE,204,863,62
66,67,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,51,TRUE,117,0,275989,FALSE,163,1434,3
44,46,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,37,TRUE,76,0,158330,FALSE,11,1986,3
40,46,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,25,FALSE,335,0,3428303,FALSE,174,2082,36
30,32,FALSE,accepted,1,TRUE,693,?,FALSE,FALSE,FALSE,75,FALSE,70,0,233864,FALSE,72,6277,4
40,42,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,124,TRUE,243,0,1365257,FALSE,610,1565,44
33,36,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,64,FALSE,335,2,5070070,TRUE,372,2441,137
14,23,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,7,FALSE,34,0,27247,FALSE,6,9854,3
42,43,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,31,FALSE,195,0,3081814,FALSE,165,2378,13
62,69,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,46,FALSE,372,6,6159849,FALSE,319,2238,15
47,51,TRUE,verified,18,TRUE,10964,?,FALSE,FALSE,FALSE,71,FALSE,346,3,3910160,TRUE,380,2036,516
39,49,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,86,FALSE,193,0,1708934,FALSE,146,10876,0
55,66,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,41,FALSE,50,0,49068,FALSE,6,10877,2
57,58,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,100,TRUE,157,0,183015,FALSE,19,611,4
6,12,FALSE,unreviewed,1,FALSE,598,?,FALSE,FALSE,FALSE,77,FALSE,58,0,200216,FALSE,107,7320,3
55,56,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,109,FALSE,370,0,1318014,FALSE,525,1162,25
38,39,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,61,TRUE,262,0,1497028,FALSE,996,1175,41
36,40,TRUE,verified,20,TRUE,21495,34478,FALSE,FALSE,TRUE,82,TRUE,363,3,4131701,TRUE,623,2036,504
39,40,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,72,FALSE,83,0,173703,FALSE,34,7985,5
15,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,37,FALSE,39,0,75496,FALSE,17,5353,2
0,7,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,22,FALSE,9,0,5594,FALSE,3,754,0
27,29,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,18,FALSE,142,0,589526,FALSE,94,8179,28
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,134,FALSE,191,0,2798227,FALSE,1397,1207,14
10,16,FALSE,unreviewed,0,TRUE,2660,?,FALSE,FALSE,FALSE,80,FALSE,75,0,310739,FALSE,40,9110,1
37,38,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,47,FALSE,200,0,3050327,FALSE,2699,1346,10
53,54,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,192,FALSE,315,0,1536371,FALSE,192,853,65
19,21,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,100,TRUE,63,0,199159,FALSE,9,4870,1
22,23,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,144,FALSE,127,0,1558247,FALSE,50,826,68
29,30,FALSE,accepted,1,FALSE,21495,34478,FALSE,FALSE,TRUE,65,TRUE,356,0,4016170,FALSE,162,401,18
11,12,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,31,FALSE,119,0,1381659,FALSE,86,826,48
19,23,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,22,FALSE,47,0,78612,FALSE,9,7132,1
51,52,FALSE,accepted,2,TRUE,21495,34478,FALSE,FALSE,TRUE,169,TRUE,360,0,2016243,FALSE,1267,1162,69
30,38,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,34,FALSE,51,0,42338,FALSE,8,10601,3
18,19,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,58,TRUE,827,0,9407569,FALSE,949,416,107
42,43,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,49,FALSE,195,0,3081814,FALSE,165,2378,8
31,32,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,6,FALSE,121,0,751230,FALSE,95,6438,12
28,29,FALSE,accepted,1,TRUE,21495,34478,FALSE,FALSE,TRUE,22,TRUE,198,0,1921896,FALSE,426,2514,21
25,27,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,28,FALSE,153,0,2542718,FALSE,168,2217,8
22,24,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,82,TRUE,366,1,2267806,FALSE,211,401,89
39,44,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,28,TRUE,54,0,150795,FALSE,8,1986,-1
18,19,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,170,FALSE,156,0,1385859,FALSE,89,826,43
65,67,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,22,FALSE,362,0,2968632,FALSE,314,2766,274
22,41,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,30,FALSE,30,0,29649,FALSE,3,10877,2
19,22,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,56,FALSE,111,0,383454,FALSE,65,7917,9
25,27,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,121,FALSE,237,1,2391365,FALSE,254,1797,21
27,32,FALSE,unreviewed,0,TRUE,419,?,FALSE,FALSE,FALSE,147,FALSE,24,0,29132,FALSE,2,10218,0
12,15,FALSE,accepted,3,FALSE,2660,?,FALSE,FALSE,FALSE,80,FALSE,72,0,290854,FALSE,74,4863,42
28,29,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,70,FALSE,220,0,2943027,FALSE,172,973,5
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,73,FALSE,306,2,2875478,FALSE,342,1699,27
134,137,TRUE,verified,21,FALSE,21495,34478,FALSE,FALSE,TRUE,62,TRUE,714,2,4168155,TRUE,573,1742,559
38,40,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,80,TRUE,546,1,2377865,FALSE,1535,1196,169
26,31,FALSE,accepted,0,TRUE,598,?,FALSE,FALSE,FALSE,110,FALSE,78,0,214830,FALSE,87,6557,3
38,40,FALSE,accepted,4,FALSE,21495,34478,FALSE,FALSE,TRUE,147,TRUE,546,1,2377865,FALSE,1535,1196,100
11,14,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,118,FALSE,31,0,32188,FALSE,?,9854,10
24,33,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,143,FALSE,22,0,40285,FALSE,2,9854,2
11,12,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,96,FALSE,119,0,1381659,FALSE,86,826,90
42,48,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,44,TRUE,104,0,315757,FALSE,44,?,2
103,107,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,29,TRUE,399,3,1792776,FALSE,310,1951,33
17,18,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,50,TRUE,59,0,211688,FALSE,13,1986,0
25,27,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,27,FALSE,237,1,2391365,FALSE,254,1797,47
7,18,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,67,FALSE,25,0,30890,FALSE,4,9854,5
25,26,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,222,FALSE,273,0,1657441,FALSE,82,751,70
20,29,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,34,FALSE,66,0,55588,FALSE,3,9854,6
35,42,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,51,FALSE,48,0,37416,FALSE,56,7306,0
25,26,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,107,FALSE,273,0,1657441,FALSE,82,751,49
0,9,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,41,FALSE,4,0,?,FALSE,3,1308,0
13,15,FALSE,unreviewed,3,FALSE,598,?,FALSE,FALSE,FALSE,162,FALSE,66,0,311514,FALSE,89,5599,3
29,38,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,84,0,332843,FALSE,96,5360,1
34,36,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,35,TRUE,100,0,541196,FALSE,28,2086,9
30,31,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,41,TRUE,125,0,579775,FALSE,56,947,17
29,38,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,84,0,332843,FALSE,96,5360,1
15,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,7,FALSE,39,0,75496,FALSE,17,5353,2
42,49,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,38,TRUE,267,6,961072,FALSE,981,1364,82
55,62,FALSE,unreviewed,0,TRUE,8610,?,FALSE,FALSE,FALSE,23,FALSE,226,4,1891346,FALSE,94,2074,1
0,20,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,33,FALSE,5,0,?,FALSE,?,1160,0
16,17,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,31,TRUE,79,0,590497,FALSE,90,1905,11
37,38,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,59,FALSE,200,0,3050327,FALSE,2699,1346,9
47,51,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,182,TRUE,346,3,3910160,FALSE,380,2036,3
40,46,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,18,FALSE,335,0,3428303,FALSE,174,2082,18
9,16,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,28,0,33035,FALSE,77,7404,3
46,49,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,375,2,5236229,FALSE,872,2119,26
21,24,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,136,FALSE,257,2,1441789,TRUE,313,2779,116
55,66,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,35,FALSE,50,0,49068,FALSE,6,10877,2
106,107,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,60,TRUE,536,0,1719362,FALSE,521,1657,23
30,38,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,142,FALSE,51,0,42338,FALSE,8,10601,4
31,34,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,65,TRUE,212,2,848363,FALSE,144,7055,5
17,18,FALSE,accepted,4,TRUE,2503,1124,FALSE,FALSE,TRUE,92,TRUE,118,0,802089,FALSE,611,1460,30
18,19,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,78,FALSE,152,0,2401685,FALSE,59,751,24
65,67,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,29,FALSE,362,0,2968632,FALSE,314,2766,25
18,19,FALSE,accepted,2,FALSE,10964,?,FALSE,FALSE,FALSE,104,FALSE,152,0,2401685,FALSE,59,751,26
12,13,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,276,TRUE,229,0,2590584,FALSE,402,156,248
20,31,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,35,FALSE,65,0,167114,FALSE,92,7114,0
37,42,TRUE,verified,22,TRUE,17568,144243,FALSE,FALSE,TRUE,7,TRUE,399,4,3060005,TRUE,1027,5683,1041
40,42,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,41,TRUE,243,0,1365257,FALSE,610,1565,10
19,21,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,7,TRUE,63,0,199159,FALSE,9,4870,20
11,12,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,278,FALSE,216,0,3708670,FALSE,204,826,304
10,18,FALSE,unreviewed,0,FALSE,2660,?,FALSE,FALSE,FALSE,135,FALSE,69,0,265651,FALSE,35,7481,0
53,54,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,111,FALSE,315,0,1536371,FALSE,192,853,94
35,39,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,176,FALSE,277,3,3184871,TRUE,369,1797,132
39,42,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,9,FALSE,393,2,7086094,FALSE,669,2034,61
66,67,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,279,TRUE,117,0,275989,FALSE,163,1434,8
29,30,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,35,TRUE,110,0,505744,FALSE,68,4860,9
35,39,FALSE,accepted,1,TRUE,8610,?,FALSE,FALSE,FALSE,7,FALSE,277,3,3184871,FALSE,369,1797,7
27,28,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,25,FALSE,196,0,3183017,FALSE,226,1929,24
9,23,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,78,FALSE,47,0,68548,FALSE,16,9854,4
118,122,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,6,TRUE,1380,3,12190302,FALSE,5604,1678,123
32,42,TRUE,verified,12,TRUE,8610,?,FALSE,FALSE,FALSE,67,FALSE,515,9,5296468,TRUE,341,887,105
17,18,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,23,TRUE,118,0,802089,FALSE,611,1460,36
10,11,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,120,FALSE,237,0,5521909,FALSE,201,775,84
36,38,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,19,FALSE,95,0,234938,FALSE,47,6452,41
48,51,FALSE,accepted,2,TRUE,17568,144243,FALSE,FALSE,TRUE,22,TRUE,292,2,1384638,FALSE,302,6578,41
20,29,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,30,FALSE,66,0,55588,FALSE,3,9854,4
0,5,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,39,FALSE,3,0,6552,FALSE,12,1746,0
9,10,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,139,FALSE,252,0,6148182,FALSE,583,1030,159
29,36,FALSE,unreviewed,0,FALSE,2503,1124,FALSE,FALSE,TRUE,30,TRUE,43,0,140356,FALSE,6,2150,0
20,21,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,94,TRUE,247,0,2330119,FALSE,168,401,25
16,17,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,46,TRUE,79,0,590497,FALSE,90,1905,9
33,34,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,61,TRUE,106,0,222423,FALSE,22,4870,9
21,33,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,69,FALSE,41,0,34642,FALSE,7,7369,1
18,21,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,25,FALSE,35,0,38870,FALSE,60,7089,0
94,104,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,14,FALSE,294,0,2015929,FALSE,338,8020,9
1,12,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,80,FALSE,8,0,41280,FALSE,2,10877,2
17,20,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,127,TRUE,152,1,1204637,FALSE,210,5733,67
21,26,FALSE,accepted,1,FALSE,419,?,FALSE,FALSE,FALSE,21,FALSE,27,0,24461,FALSE,1,9854,0
8,10,FALSE,accepted,1,FALSE,693,?,FALSE,FALSE,FALSE,52,FALSE,34,0,74409,FALSE,10,5353,12
12,13,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,191,TRUE,229,0,2590584,FALSE,402,156,100
38,41,FALSE,accepted,2,FALSE,2660,?,FALSE,FALSE,FALSE,75,FALSE,93,0,243794,FALSE,37,5654,11
11,20,FALSE,unreviewed,1,FALSE,598,?,FALSE,FALSE,FALSE,8,FALSE,36,0,29021,FALSE,51,7089,0
23,24,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,73,TRUE,382,0,3709414,FALSE,1885,1162,105
30,31,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,20,TRUE,82,0,140642,FALSE,18,4646,22
23,24,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,158,FALSE,398,0,4498975,FALSE,1263,1026,165
22,24,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,37,TRUE,366,1,2267806,FALSE,211,401,63
43,48,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,74,TRUE,90,0,284677,FALSE,40,1986,10
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,91,FALSE,306,2,2875478,FALSE,342,1699,24
10,11,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,160,FALSE,237,0,5521909,FALSE,201,775,32
16,22,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,42,FALSE,40,0,89259,FALSE,12,10141,4
13,14,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,49,FALSE,93,0,2256798,FALSE,1395,1111,135
19,21,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,61,FALSE,28,0,154723,FALSE,78,6725,2
24,28,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,136,FALSE,32,0,50538,FALSE,57,7306,1
17,18,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,185,TRUE,118,0,802089,FALSE,611,1460,38
24,33,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,82,FALSE,22,0,40285,FALSE,2,9854,5
2,9,FALSE,unreviewed,2,FALSE,38,?,FALSE,FALSE,FALSE,43,FALSE,39,0,282527,FALSE,50,1174,2
48,49,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,30,TRUE,97,0,143815,FALSE,41,954,4
11,20,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,18,FALSE,36,0,29021,FALSE,51,7089,0
22,29,FALSE,unreviewed,0,FALSE,2660,?,FALSE,FALSE,FALSE,50,FALSE,88,0,292144,FALSE,62,8377,0
54,56,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,43,TRUE,295,0,1338433,FALSE,198,3188,5
44,45,FALSE,accepted,5,FALSE,21495,34478,FALSE,FALSE,TRUE,191,TRUE,712,0,1479165,FALSE,270,423,188
39,49,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,26,FALSE,193,0,1708934,FALSE,146,10876,0
17,24,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,62,FALSE,31,0,34150,FALSE,6,7509,0
62,69,TRUE,verified,6,TRUE,8610,?,FALSE,FALSE,FALSE,6,FALSE,372,6,6159849,TRUE,319,2238,276
28,29,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,105,FALSE,220,0,2943027,FALSE,172,973,20
31,58,TRUE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,31,FALSE,245,26,4690125,FALSE,1077,1192,8
16,19,FALSE,unreviewed,0,FALSE,693,?,FALSE,FALSE,FALSE,18,FALSE,27,0,66018,FALSE,10,5353,0
6,8,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,88,FALSE,30,0,41400,FALSE,65,7306,8
57,58,FALSE,accepted,2,FALSE,2503,1124,FALSE,FALSE,TRUE,88,TRUE,157,0,183015,FALSE,19,611,4
42,43,FALSE,accepted,1,TRUE,419,?,FALSE,FALSE,FALSE,41,FALSE,188,0,1173187,FALSE,161,10906,6
32,35,FALSE,accepted,2,FALSE,2660,?,FALSE,FALSE,FALSE,79,FALSE,85,0,276104,FALSE,35,7866,1
17,20,FALSE,unreviewed,0,TRUE,17568,144243,FALSE,FALSE,TRUE,66,TRUE,152,1,1204637,FALSE,210,5733,1
12,13,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,94,FALSE,168,0,5132018,FALSE,475,1747,101
55,57,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,61,TRUE,290,1,1404525,FALSE,294,1685,11
55,66,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,39,FALSE,50,0,49068,FALSE,6,10877,1
84,89,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,42,TRUE,552,4,5613108,FALSE,2095,2036,11
